Region	Time	Type of Visa	NOM Arrivals	NOM Departures	NOM
Australia	2004	Total 	351010	212220	138800
Australia	2004	Temporary visa - Total	155000	64040	90960
Australia	2004	Temporary visa - Vocational Education and Training sector	8570	3210	5360
Australia	2004	Temporary visa - Higher education sector	29860	7850	22010
Australia	2004	Temporary visa - Student other	40200	9970	30230
Australia	2004	Temporary visa - Temporary work skilled (subclass 457)	16660	7130	9530
Australia	2004	Temporary visa - Visitor	38870	19430	19440
Australia	2004	Temporary visa - Working Holiday	12150	3230	8920
Australia	2004	Temporary visa - Other temporary visas	8680	13220	-4530
Australia	2004	Permanent visa - Total	79140	17820	61330
Australia	2004	Permanent visa - Family	28930	4350	24580
Australia	2004	Permanent visa - Skill	34680	7180	27500
Australia	2004	Permanent visa - Special Eligibility and humanitarian	11690	250	11440
Australia	2004	Permanent visa - Other permanent visas	3850	6030	-2180
Australia	2004	New Zealand Citizen (subclass 444)	35960	17920	18030
Australia	2004	Australian Citizen	68130	98550	-30420
Australia	2004	Other Visas	12790	13890	-1090
Australia	2005	Total 	362180	205000	157180
Australia	2005	Temporary visa - Total	149970	64410	85570
Australia	2005	Temporary visa - Vocational Education and Training sector	8570	3340	5240
Australia	2005	Temporary visa - Higher education sector	39820	13140	26680
Australia	2005	Temporary visa - Student other	19540	8960	10590
Australia	2005	Temporary visa - Temporary work skilled (subclass 457)	21460	8040	13420
Australia	2005	Temporary visa - Visitor	36760	15110	21640
Australia	2005	Temporary visa - Working Holiday	14910	3180	11730
Australia	2005	Temporary visa - Other temporary visas	8910	12640	-3720
Australia	2005	Permanent visa - Total	85990	15780	70210
Australia	2005	Permanent visa - Family	30010	4110	25900
Australia	2005	Permanent visa - Skill	39390	6540	32850
Australia	2005	Permanent visa - Special Eligibility and humanitarian	12840	230	12610
Australia	2005	Permanent visa - Other permanent visas	3750	4900	-1140
Australia	2005	New Zealand Citizen (subclass 444)	38290	16420	21870
Australia	2005	Australian Citizen	72960	90660	-17700
Australia	2005	Other Visas	14980	17730	-2750
Australia	2006	Total 	402140	204650	197490
Australia	2006	Temporary visa - Total	179670	64330	115340
Australia	2006	Temporary visa - Vocational Education and Training sector	13700	3330	10370
Australia	2006	Temporary visa - Higher education sector	47970	15880	32090
Australia	2006	Temporary visa - Student other	22850	6490	16370
Australia	2006	Temporary visa - Temporary work skilled (subclass 457)	31940	9000	22940
Australia	2006	Temporary visa - Visitor	36750	14620	22130
Australia	2006	Temporary visa - Working Holiday	19320	3380	15940
Australia	2006	Temporary visa - Other temporary visas	7130	11640	-4500
Australia	2006	Permanent visa - Total	92520	15950	76570
Australia	2006	Permanent visa - Family	31310	4390	26920
Australia	2006	Permanent visa - Skill	45080	6800	38280
Australia	2006	Permanent visa - Special Eligibility and humanitarian	12500	120	12380
Australia	2006	Permanent visa - Other permanent visas	3620	4640	-1010
Australia	2006	New Zealand Citizen (subclass 444)	40670	15530	25140
Australia	2006	Australian Citizen	76010	91800	-15790
Australia	2006	Other Visas	13270	17040	-3770
Australia	2007	Total 	460580	216550	244030
Australia	2007	Temporary visa - Total	230490	66580	163920
Australia	2007	Temporary visa - Vocational Education and Training sector	25480	3690	21790
Australia	2007	Temporary visa - Higher education sector	64670	15440	49230
Australia	2007	Temporary visa - Student other	28160	6250	21900
Australia	2007	Temporary visa - Temporary work skilled (subclass 457)	39300	9920	29380
Australia	2007	Temporary visa - Visitor	40800	13590	27210
Australia	2007	Temporary visa - Working Holiday	25190	6100	19080
Australia	2007	Temporary visa - Other temporary visas	6900	11580	-4680
Australia	2007	Permanent visa - Total	94780	16960	77820
Australia	2007	Permanent visa - Family	32580	4670	27910
Australia	2007	Permanent visa - Skill	47800	7510	40290
Australia	2007	Permanent visa - Special Eligibility and humanitarian	10710	80	10630
Australia	2007	Permanent visa - Other permanent visas	3700	4700	-1000
Australia	2007	New Zealand Citizen (subclass 444)	47480	15460	32020
Australia	2007	Australian Citizen	72340	97300	-24960
Australia	2007	Other Visas	15490	20240	-4750
Australia	2008	Total 	535970	220280	315690
Australia	2008	Temporary visa - Total	287690	83880	203810
Australia	2008	Temporary visa - Vocational Education and Training sector	40200	4610	35590
Australia	2008	Temporary visa - Higher education sector	80470	16890	63580
Australia	2008	Temporary visa - Student other	28580	6810	21770
Australia	2008	Temporary visa - Temporary work skilled (subclass 457)	49610	11940	37670
Australia	2008	Temporary visa - Visitor	49730	21380	28350
Australia	2008	Temporary visa - Working Holiday	32460	9340	23110
Australia	2008	Temporary visa - Other temporary visas	6660	12910	-6250
Australia	2008	Permanent visa - Total	102640	16740	85900
